nu_cnes,nu_ine,quadrimestre,distrito,distrito_desc,no_unidade_saude,no_equipe,realizado_1,previsto_1,realizado_2,previsto_2,realizado_3,previsto_3,realizado_4,previsto_4,realizado_5,previsto_5,realizado_6,previsto_6,realizado_7,previsto_7
9069569,0000155403,2023.3,DS 4,Distrito Sanitário IV,Us 442 Usf Upinha Dia Santa Luzia Emocy Krause,CORDEIRO II,5.0,5.0,9.0,9.0,11.0,11.0,174.0,532.0,63.0,206.0,5.0,9.0,146.0,522.0
0001414,0000153249,2023.3,DS 5,Distrito Sanitário V,Us 117 Usf Gaspar Regueira Costa,GASPAR REGUEIRA COSTA CACOTE,3.0,3.0,2.0,2.0,0.0,0.0,38.0,690.0,11.0,241.0,1.0,3.0,62.0,328.0
0001414,0000153230,2023.3,DS 5,Distrito Sanitário V,Us 117 Usf Gaspar Regueira Costa,GASPAR REGUEIRA COSTA BARRO I,0.0,0.0,0.0,0.0,0.0,0.0,4.0,241.0,0.0,24.0,1.0,1.0,18.0,50.0
0024538,0000154180,2023.3,DS 4,Distrito Sanitário IV,Us 255 Usf Upinha 24h Vila Arraes,VILA ARRAES II,7.0,7.0,9.0,9.0,4.0,4.0,114.0,893.0,41.0,368.0,2.0,5.0,308.0,628.0
5392136,0000155888,2023.3,DS 6,Distrito Sanitário VI,Us 342 Usf Djalma Holanda Cavalcante,DJALMA DE HOLANDA - EQUIPE I,6.0,6.0,2.0,2.0,7.0,7.0,111.0,782.0,7.0,316.0,6.0,9.0,190.0,473.0
0029114,0000154709,2023.3,DS 5,Distrito Sanitário V,Us 284 Usf Vila Sao Miguel Marrom Glace,VILA S.MIGUEL MARROM GLACE I,1.0,1.0,2.0,2.0,3.0,3.0,129.0,568.0,35.0,234.0,8.0,9.0,130.0,432.0
5392136,0000155861,2024.1,DS 6,Distrito Sanitário VI,Us 342 Usf Djalma Holanda Cavalcante,DJALMA DE HOLANDA - EQUIPE IV,5.0,5.0,3.0,3.0,3.0,3.0,61.0,431.0,5.0,177.0,3.0,4.0,142.0,321.0
3153487,0000155144,2023.3,DS 4,Distrito Sanitário IV,Us 295 Usf Cosme e Damiao,COSME DAMIAO,10.0,10.0,10.0,10.0,14.0,14.0,136.0,773.0,41.0,270.0,7.0,14.0,179.0,402.0
3703223,0000155683,2023.3,DS 4,Distrito Sanitário IV,Us 331 Usf Prof Amaury de Medeiros,JD. TERESOPOLIS DE CIMA,2.0,2.0,1.0,1.0,1.0,1.0,145.0,672.0,31.0,240.0,5.0,5.0,145.0,333.0
0029106,0000154660,2023.3,DS 7,Distrito Sanitário VII,Us 283 Usf Vila Boa Vista,BOA VISTA II,6.0,6.0,11.0,11.0,2.0,2.0,40.0,707.0,14.0,215.0,1.0,9.0,139.0,476.0
0001058,0000152900,2023.3,DS 7,Distrito Sanitário VII,Us 121 CS Prof Bruno Maia,BRUNO MAIA - I,5.0,5.0,3.0,3.0,10.0,10.0,56.0,331.0,7.0,63.0,3.0,5.0,79.0,359.0
5342074,0001889141,2023.3,DS 5,Distrito Sanitário V,Us 338 Usf Jardim Sao Paulo,SBM2 JARDIM SAO PAULO II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7992955,0000153656,2024.1,DS 2,Distrito Sanitário II,Us 403 Usf Upinha Dia Chie,CHIE I,0.0,0.0,0.0,0.0,3.0,3.0,24.0,736.0,17.0,264.0,1.0,3.0,45.0,225.0
7992955,0000154407,2024.1,DS 2,Distrito Sanitário II,Us 403 Usf Upinha Dia Chie,CHIE II,1.0,1.0,2.0,2.0,8.0,8.0,96.0,805.0,23.0,252.0,0.0,4.0,144.0,384.0
2679779,0000154822,2023.3,DS 7,Distrito Sanitário VII,Us 287 Usf Alto Jose do Pinho,ALTO JOSE DO PINHO II,3.0,3.0,4.0,4.0,3.0,3.0,174.0,757.0,28.0,235.0,1.0,7.0,146.0,516.0
2679787,0000154849,2023.3,DS 7,Distrito Sanitário VII,Us 288 Usf Morro da Conceicao,MORRO DA CONCEICAO II,5.0,5.0,4.0,4.0,8.0,8.0,109.0,540.0,12.0,217.0,4.0,10.0,181.0,415.0
9069569,0000155411,2023.3,DS 4,Distrito Sanitário IV,Us 442 Usf Upinha Dia Santa Luzia Emocy Krause,SANTA LUZIA I,2.0,2.0,0.0,0.0,4.0,4.0,73.0,544.0,9.0,252.0,3.0,7.0,153.0,443.0
0026336,0000154261,2023.3,DS 5,Distrito Sanitário V,Us 265 Usf Mangueira I,MANGUEIRA A-1,10.0,10.0,10.0,10.0,4.0,4.0,48.0,476.0,5.0,153.0,1.0,2.0,197.0,340.0
0000957,0001794833,2023.3,DS 6,Distrito Sanitário VI,Us 174 Usf Sitio Grande,SBM1 SITIO GRANDE 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3301974,0000155233,2024.1,DS 2,Distrito Sanitário II,Us 302 Usf Byron Sarinho,BYRON SARINHO II,8.0,8.0,10.0,10.0,9.0,9.0,69.0,732.0,19.0,285.0,3.0,12.0,114.0,350.0
0026336,0000154288,2023.3,DS 5,Distrito Sanitário V,Us 265 Usf Mangueira I,MANGUEIRA B-I,5.0,5.0,7.0,7.0,1.0,1.0,137.0,690.0,29.0,276.0,5.0,8.0,197.0,463.0
0001511,0000153303,2024.1,DS 4,Distrito Sanitário IV,Us 184 Usf Vila Uniao,VILA UNIAO / AIRTON SENA,8.0,8.0,9.0,9.0,7.0,7.0,78.0,506.0,19.0,159.0,4.0,13.0,132.0,354.0
6916325,0000156124,2024.1,DS 4,Distrito Sanitário IV,Us 378 Usf Jardim Teresopolis,JARDIM TERESOPOLIS,6.0,6.0,7.0,7.0,10.0,10.0,144.0,537.0,65.0,213.0,5.0,10.0,165.0,349.0
9069569,0000155403,2024.1,DS 4,Distrito Sanitário IV,Us 442 Usf Upinha Dia Santa Luzia Emocy Krause,CORDEIRO II,6.0,6.0,6.0,6.0,8.0,8.0,114.0,532.0,27.0,206.0,2.0,9.0,121.0,369.0
3703223,0000155691,2023.3,DS 4,Distrito Sanitário IV,Us 331 Usf Prof Amaury de Medeiros,JD. TERESOPOLIS DE BAIXO,3.0,3.0,4.0,4.0,5.0,5.0,81.0,462.0,7.0,145.0,1.0,9.0,187.0,384.0
0022438,0002399830,2023.3,DS 5,Distrito Sanitário V,Us 245 Usf Planeta dos Macacos II,PLANETA DOS MACACOS II B,0.0,0.0,0.0,0.0,0.0,0.0,22.0,94.0,4.0,37.0,0.0,1.0,38.0,190.0
0024511,0000154156,2023.3,DS 4,Distrito Sanitário IV,Us 254 Usf Brasilit,BRASILIT II,6.0,6.0,5.0,5.0,6.0,6.0,124.0,630.0,32.0,254.0,5.0,6.0,123.0,393.0
3006476,0000154946,2023.3,DS 7,Distrito Sanitário VII,Us 290 Usf da Mangabeira,MANGABEIRA II,2.0,2.0,0.0,0.0,3.0,3.0,10.0,316.0,2.0,112.0,1.0,4.0,102.0,311.0
5320380,0000155772,2023.3,DS 4,Distrito Sanitário IV,Us 337 Usf Sitio Wanderley,SITIO WANDERLEY II,6.0,6.0,3.0,3.0,10.0,10.0,146.0,640.0,45.0,236.0,1.0,10.0,182.0,465.0
0022276,0000153737,2024.1,DS 7,Distrito Sanitário VII,Us 231 Usf Corrego da Bica,CORREGO DA BICA III,0.0,0.0,0.0,0.0,0.0,0.0,6.0,287.0,0.0,101.0,2.0,6.0,23.0,158.0
0022225,0000153613,2023.3,DS 1,Distrito Sanitário I,Us 243 Usf Santo Amaro II,SANTO AMARO II - EQUIPE II,1.0,1.0,0.0,0.0,4.0,4.0,53.0,517.0,14.0,210.0,1.0,9.0,113.0,313.0
0026379,0001845705,2023.3,DS 6,Distrito Sanitário VI,Us 269 Usf Beira do Rio Comunidade Boa Viagem,SBM1 BEIRA RIO EQUIPE - 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3371336,0000155365,2023.3,DS 7,Distrito Sanitário VII,Us 324 Usf Alto Jose Bonifacio,ALTO JOSE BONIFACIO I,2.0,2.0,5.0,5.0,3.0,3.0,37.0,471.0,9.0,82.0,3.0,9.0,87.0,281.0
0022233,0000153648,2023.3,DS 2,Distrito Sanitário II,Us 226 Usf Chao de Estrelas,CHAO DE ESTRELA I,10.0,10.0,11.0,11.0,8.0,8.0,122.0,569.0,11.0,184.0,4.0,15.0,139.0,331.0
5342074,0002399709,2023.3,DS 5,Distrito Sanitário V,Us 338 Usf Jardim Sao Paulo,JARDIM SAO PAULO IV,0.0,0.0,0.0,0.0,0.0,0.0,67.0,176.0,10.0,70.0,1.0,2.0,29.0,172.0
2679787,0000154830,2024.1,DS 7,Distrito Sanitário VII,Us 288 Usf Morro da Conceicao,MORRO DA CONCEICAO I,6.0,6.0,4.0,4.0,9.0,9.0,86.0,608.0,14.0,222.0,2.0,5.0,175.0,391.0
0029041,0000154628,2023.3,DS 8,Distrito Sanitário VIII,Us 281 Usf Vila dos Milagres,VILA DOS MILAGRES - 1,4.0,4.0,10.0,10.0,10.0,10.0,51.0,376.0,9.0,133.0,3.0,9.0,249.0,527.0
5342074,0002399725,2023.3,DS 5,Distrito Sanitário V,Us 338 Usf Jardim Sao Paulo,JARDIM SAO PAULO VI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0,6.0,22.0,1.0,1.0,13.0,65.0
3302008,0000155284,2023.3,DS 7,Distrito Sanitário VII,Us 305 Usf da Macaxeira,MACAXEIRA III BOLO DE NOIVA,13.0,13.0,12.0,12.0,16.0,16.0,80.0,770.0,38.0,266.0,4.0,14.0,116.0,493.0
0022268,0000153672,2023.3,DS 2,Distrito Sanitário II,Us 244 Usf Prof Antonio Francisco Areias,FRANCISCO AREIAS II,3.0,3.0,3.0,3.0,7.0,7.0,96.0,638.0,11.0,220.0,4.0,11.0,162.0,468.0
3562581,0001856375,2023.3,DS 6,Distrito Sanitário VI,Us 316 Usf Bernard van Leer,SBM1 BRASILIA TEIMOSA VANLEE3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022233,0000153621,2023.3,DS 2,Distrito Sanitário II,Us 226 Usf Chao de Estrelas,CHAO DE ESTRELA II,3.0,3.0,0.0,0.0,3.0,3.0,61.0,557.0,11.0,218.0,3.0,10.0,44.0,333.0
2679787,0000154849,2024.1,DS 7,Distrito Sanitário VII,Us 288 Usf Morro da Conceicao,MORRO DA CONCEICAO II,2.0,2.0,4.0,4.0,5.0,5.0,82.0,542.0,5.0,217.0,1.0,6.0,171.0,384.0
5392136,0001856626,2023.3,DS 6,Distrito Sanitário VI,Us 342 Usf Djalma Holanda Cavalcante,SBM1 DJALMA DE HOLANDA EQ. I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022268,0000153664,2023.3,DS 2,Distrito Sanitário II,Us 244 Usf Prof Antonio Francisco Areias,FRANCISCO AREIAS I,9.0,9.0,11.0,11.0,10.0,10.0,55.0,486.0,3.0,183.0,6.0,13.0,267.0,538.0
0001503,0000153273,2023.3,DS 2,Distrito Sanitário II,Us 179 Usf Alto do Ceu,ALTO DO CEU II,9.0,9.0,10.0,10.0,2.0,2.0,154.0,818.0,36.0,347.0,2.0,10.0,116.0,547.0
0002097,0001736809,2023.3,DS 7,Distrito Sanitário VII,Us 183 Usf Sitio dos Macacos,SBM1 SITIO DOS MACACOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3153460,0000155063,2024.1,DS 8,Distrito Sanitário VIII,Us 298 Usf Jordao Alto,JORDAO ALTO - 3,9.0,9.0,10.0,10.0,6.0,6.0,43.0,557.0,15.0,189.0,0.0,8.0,109.0,311.0
0001112,0000153036,2023.3,DS 5,Distrito Sanitário V,Us 186 Usf Jardim Uchoa,JARDIM UCHOA II,6.0,6.0,0.0,0.0,6.0,6.0,56.0,386.0,1.0,146.0,3.0,11.0,69.0,274.0
0029068,0000154644,2023.3,DS 8,Distrito Sanitário VIII,Us 282 Usf Vila das Aeromocas,VILA DAS AEROMOCAS - 2,7.0,7.0,5.0,5.0,5.0,5.0,81.0,547.0,14.0,216.0,3.0,8.0,155.0,353.0
6362508,0001565826,2023.3,DS 7,Distrito Sanitário VII,Us 352 Usf Upinha 24h Dr Helio Mendonca Cor do Jenipapo,EQUIPE III CORREGO DO JENIPAPO,9.0,9.0,6.0,6.0,10.0,10.0,205.0,738.0,80.0,356.0,4.0,10.0,244.0,550.0
0001511,0000153311,2024.1,DS 4,Distrito Sanitário IV,Us 184 Usf Vila Uniao,VILA UNIAO / SANTA MARTA,7.0,7.0,9.0,9.0,11.0,11.0,189.0,706.0,58.0,265.0,9.0,21.0,234.0,586.0
0022373,0000153923,2024.1,DS 4,Distrito Sanitário IV,Us 224 Usf Carangueijo,CARANGUEIJO,4.0,4.0,4.0,4.0,9.0,9.0,45.0,475.0,5.0,152.0,3.0,7.0,99.0,284.0
0022489,0000154105,2023.3,DS 8,Distrito Sanitário VIII,Us 250 Usf Ur12 Ur5 3 Etapa,UR-12/05 EQUIPE 2,6.0,6.0,8.0,8.0,2.0,2.0,141.0,345.0,45.0,117.0,6.0,14.0,156.0,386.0
0026387,0000154385,2023.3,DS 8,Distrito Sanitário VIII,Us 270 Usf Monte Verde,MONTE VERDE - 1,9.0,9.0,7.0,7.0,5.0,5.0,72.0,503.0,13.0,206.0,3.0,12.0,133.0,432.0
0022225,0000153613,2024.1,DS 1,Distrito Sanitário I,Us 243 Usf Santo Amaro II,SANTO AMARO II - EQUIPE II,1.0,1.0,0.0,0.0,3.0,3.0,46.0,517.0,12.0,210.0,0.0,4.0,84.0,240.0
0000965,0000152897,2023.3,DS 5,Distrito Sanitário V,Us 177 Usf Chico Mendes,CHICO MENDES,11.0,11.0,10.0,10.0,12.0,12.0,118.0,812.0,42.0,294.0,5.0,16.0,179.0,437.0
0026344,0000154318,2023.3,DS 5,Distrito Sanitário V,Us 266 Usf Mangueira II,MANGUEIRA A-II,6.0,6.0,5.0,5.0,6.0,6.0,103.0,844.0,23.0,223.0,4.0,13.0,158.0,429.0
7524501,0001554891,2024.1,DS 2,Distrito Sanitário II,Us 395 Usf Upinha Dia Dra Fernanda Wanderley,FERNANDA WANDERLEY II,8.0,8.0,4.0,4.0,7.0,7.0,8.0,504.0,3.0,249.0,2.0,11.0,189.0,453.0
0022276,0001887785,2023.3,DS 7,Distrito Sanitário VII,Us 231 Usf Corrego da Bica,SBM2 CORREGO DA BICA I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0028088,0000154474,2023.3,DS 2,Distrito Sanitário II,Us 273 Usf Bianor Teodosio,BIANOR TEODOSIO II,4.0,4.0,3.0,3.0,3.0,3.0,67.0,626.0,14.0,250.0,2.0,7.0,18.0,408.0
0022403,0002399857,2023.3,DS 5,Distrito Sanitário V,Us 238 Usf Iraque,IRAQUE III VILA CARDEAL,0.0,0.0,0.0,0.0,0.0,0.0,8.0,40.0,4.0,26.0,0.0,0.0,11.0,43.0
0022292,0001737465,2023.3,DS 7,Distrito Sanitário VII,Us 251 Usf da Guabiraba,SBM1 GUABIRABA II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7524501,0001539663,2024.1,DS 2,Distrito Sanitário II,Us 395 Usf Upinha Dia Dra Fernanda Wanderley,FERNANDA WANDERLEY III,1.0,1.0,1.0,1.0,6.0,6.0,17.0,390.0,1.0,262.0,1.0,7.0,142.0,344.0
7524501,0002343908,2024.1,DS 2,Distrito Sanitário II,Us 395 Usf Upinha Dia Dra Fernanda Wanderley,FERNANDA WANDERLEY IV,4.0,4.0,2.0,2.0,2.0,2.0,18.0,65.0,0.0,103.0,2.0,7.0,72.0,237.0
0029114,0000154695,2023.3,DS 5,Distrito Sanitário V,Us 284 Usf Vila Sao Miguel Marrom Glace,VILA S.MIGUEL MARROM GLACE II,8.0,8.0,10.0,10.0,3.0,3.0,90.0,570.0,13.0,233.0,6.0,15.0,190.0,493.0
0026301,0001802178,2023.3,DS 7,Distrito Sanitário VII,Us 261 Usf Alto do Eucalipto,SBM1 ALTO DO EUCALIPTO EQ II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3037908,0000154970,2023.3,DS 5,Distrito Sanitário V,Us 294 Usf Vila Tamandare Beirinha,BEIRINHA,12.0,12.0,7.0,7.0,3.0,3.0,83.0,471.0,20.0,225.0,3.0,9.0,85.0,438.0
0029114,0000154687,2023.3,DS 5,Distrito Sanitário V,Us 284 Usf Vila Sao Miguel Marrom Glace,VILA S.MIGUEL MARROM GLACE III,7.0,7.0,8.0,8.0,7.0,7.0,60.0,528.0,14.0,195.0,2.0,5.0,76.0,360.0
7946651,0002344122,2024.1,DS 2,Distrito Sanitário II,Us 401 Usf Upinha Dia Governador Eduardo Campos,EDUARDO CAMPOS IV,5.0,5.0,9.0,9.0,7.0,7.0,16.0,54.0,3.0,58.0,0.0,1.0,29.0,136.0
0028665,0000154563,2024.1,DS 1,Distrito Sanitário I,Us 278 Usf Nossa Sra do Pilar Bairro do Recife,PILAR,3.0,3.0,11.0,11.0,9.0,9.0,42.0,406.0,10.0,185.0,1.0,4.0,125.0,326.0
3006468,0000154911,2024.1,DS 2,Distrito Sanitário II,Us 291 Usf Alto dos Coqueiros Corrego da Jaqueira,ALTO COQUEIROS,7.0,7.0,7.0,7.0,8.0,8.0,155.0,805.0,8.0,257.0,4.0,8.0,179.0,349.0
3006468,0000154903,2024.1,DS 2,Distrito Sanitário II,Us 291 Usf Alto dos Coqueiros Corrego da Jaqueira,ALTOS DOS COQUEIROS II,11.0,11.0,9.0,9.0,10.0,10.0,99.0,693.0,3.0,212.0,3.0,9.0,172.0,355.0
3037908,0000154989,2023.3,DS 5,Distrito Sanitário V,Us 294 Usf Vila Tamandare Beirinha,VILA TAMANDARE,8.0,8.0,8.0,8.0,6.0,6.0,38.0,530.0,27.0,273.0,3.0,5.0,99.0,466.0
3131521,0002399776,2023.3,DS 5,Distrito Sanitário V,Us 300 Usf Dr Dr Geraldo Barreto Campelo San Martin,SAN MARTIM POVO DE DEUS IV,0.0,0.0,0.0,0.0,0.0,0.0,29.0,103.0,8.0,29.0,1.0,2.0,37.0,106.0
3562581,0000155519,2023.3,DS 6,Distrito Sanitário VI,Us 316 Usf Bernard van Leer,BRASILIA TEIMOSA/VAN LEE - 2,5.0,5.0,5.0,5.0,4.0,4.0,196.0,628.0,58.0,301.0,3.0,9.0,300.0,593.0
3562581,0000155543,2023.3,DS 6,Distrito Sanitário VI,Us 316 Usf Bernard van Leer,BRASILIA TEIMOSA/VAN LEE - 3,3.0,3.0,4.0,4.0,4.0,4.0,18.0,660.0,3.0,238.0,2.0,10.0,230.0,392.0
3131521,0000155012,2023.3,DS 5,Distrito Sanitário V,Us 300 Usf Dr Dr Geraldo Barreto Campelo San Martin,SAN MARTIN/POVO DE DEUS I,10.0,10.0,10.0,10.0,9.0,9.0,97.0,402.0,38.0,138.0,5.0,9.0,152.0,389.0
3371336,0001773631,2023.3,DS 7,Distrito Sanitário VII,Us 324 Usf Alto Jose Bonifacio,SBM2 ALTO JOSE BONIFACIO III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3131572,0000155055,2023.3,DS 5,Distrito Sanitário V,Us 301 Usf Bongi Boa Ideia,BONGI/BOA IDEIA I,2.0,2.0,1.0,1.0,4.0,4.0,5.0,522.0,0.0,132.0,4.0,11.0,138.0,263.0
2752824,0002399237,2023.3,DS 8,Distrito Sanitário VIII,Us 289 Usf Josue de Castro,27 DE NOVEMBRO V,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,1.0,3.0,0.0,0.0,9.0,36.0
3153460,0000155063,2023.3,DS 8,Distrito Sanitário VIII,Us 298 Usf Jordao Alto,JORDAO ALTO - 3,14.0,14.0,12.0,12.0,7.0,7.0,42.0,555.0,33.0,188.0,4.0,6.0,114.0,321.0
3470253,0000155470,2023.3,DS 8,Distrito Sanitário VIII,Us 312 Usf Vila do Sesi,VILA DO SESI - 2,3.0,3.0,5.0,5.0,8.0,8.0,214.0,970.0,34.0,354.0,4.0,10.0,176.0,525.0
3470261,0000155497,2023.3,DS 6,Distrito Sanitário VI,Us 326 Usf Jader de Andrade Comunidade Entra Apulso,ENTRA APULSO EQUIPE I,3.0,3.0,5.0,5.0,8.0,8.0,45.0,401.0,9.0,186.0,2.0,8.0,158.0,434.0
5601037,0000155926,2023.3,DS 5,Distrito Sanitário V,Us 344 Usf Jiquia,JIQUIA II,2.0,2.0,1.0,1.0,5.0,5.0,65.0,501.0,8.0,214.0,3.0,16.0,130.0,318.0
5392136,0000155896,2023.3,DS 6,Distrito Sanitário VI,Us 342 Usf Djalma Holanda Cavalcante,DJALMA DE HOLANDA - EQUIPE II,4.0,4.0,0.0,0.0,7.0,7.0,113.0,550.0,16.0,212.0,2.0,9.0,111.0,286.0
0002011,0002172305,2024.1,DS 3,Distrito Sanitário III,Us 171 Usf Joaquim Costa Carvalho,ALTO DO MANDU 1,6.0,6.0,4.0,4.0,6.0,6.0,32.0,190.0,34.0,261.0,4.0,9.0,115.0,372.0
0026220,0001745069,2024.1,DS 3,Distrito Sanitário III,Us 260 Usf Corrego da Fortuna,SBM1 CORREGO DA FORTUNA SAPUCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3153568,0000155187,2023.3,DS 6,Distrito Sanitário VI,Us 297 Usf do Pina,PINA - 1,6.0,6.0,4.0,4.0,8.0,8.0,142.0,734.0,68.0,270.0,2.0,6.0,119.0,428.0
5139155,0000155721,2024.1,DS 3,Distrito Sanitário III,Us 336 Usf Uniao das Vilas,UNIAO DAS VILAS,1.0,5.0,1.0,5.0,6.0,6.0,26.0,26.0,31.0,201.0,4.0,7.0,36.0,71.0
0026220,0000154210,2024.1,DS 3,Distrito Sanitário III,Us 260 Usf Corrego da Fortuna,CORREGO DA FORTUNA / SAPUCAIA,9.0,9.0,6.0,6.0,11.0,11.0,209.0,862.0,38.0,350.0,5.0,10.0,222.0,508.0
0022462,0001789678,2023.3,DS 8,Distrito Sanitário VIII,Us 229 Usf Ur 10,SBM1 UR X VILA 27 DE ABRIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022306,0000153788,2024.1,DS 4,Distrito Sanitário IV,Us 225 Usf Skylab II,SKYLAB II,6.0,6.0,5.0,5.0,4.0,4.0,33.0,653.0,3.0,179.0,0.0,5.0,86.0,271.0
3153568,0000155152,2023.3,DS 6,Distrito Sanitário VI,Us 297 Usf do Pina,PINA - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,80.0,3.0,11.0,105.0,281.0
5342074,0000155810,2023.3,DS 5,Distrito Sanitário V,Us 338 Usf Jardim Sao Paulo,JARDIM SAO PAULO I,5.0,5.0,5.0,5.0,5.0,5.0,78.0,478.0,31.0,165.0,0.0,5.0,111.0,299.0
5342074,0001676865,2023.3,DS 5,Distrito Sanitário V,Us 338 Usf Jardim Sao Paulo,JARDIM SAO PAULO III,3.0,3.0,3.0,3.0,6.0,6.0,240.0,700.0,66.0,256.0,5.0,10.0,130.0,532.0
5601037,0000155934,2023.3,DS 5,Distrito Sanitário V,Us 344 Usf Jiquia,JIQUIA I,1.0,1.0,3.0,3.0,6.0,6.0,164.0,665.0,26.0,226.0,2.0,6.0,148.0,348.0
7404379,0001501011,2023.3,DS 5,Distrito Sanitário V,Us 393 Usf Upinha Dia Bongi Novo Prado,NOVO PRADO,0.0,0.0,0.0,0.0,3.0,3.0,21.0,676.0,0.0,181.0,1.0,8.0,93.0,241.0
0002100,0000153443,2023.3,DS 6,Distrito Sanitário VI,Us 187 Usf Ilha de Deus,ILHA DE DEUS,6.0,6.0,15.0,15.0,12.0,12.0,44.0,1023.0,10.0,370.0,5.0,16.0,220.0,456.0
0026379,0000154377,2023.3,DS 6,Distrito Sanitário VI,Us 269 Usf Beira do Rio Comunidade Boa Viagem,BEIRA RIO ( MATA SETE ) EQ. I,7.0,7.0,7.0,7.0,8.0,8.0,144.0,449.0,47.0,154.0,3.0,9.0,110.0,320.0
0026379,0000154369,2023.3,DS 6,Distrito Sanitário VI,Us 269 Usf Beira do Rio Comunidade Boa Viagem,BEIRA RIO EQUIPE - 2,3.0,3.0,5.0,5.0,6.0,6.0,98.0,413.0,32.0,109.0,0.0,8.0,80.0,335.0
0001058,0000152935,2023.3,DS 7,Distrito Sanitário VII,Us 121 CS Prof Bruno Maia,BRUNO MAIA - II,7.0,7.0,11.0,11.0,13.0,13.0,6.0,280.0,1.0,52.0,1.0,5.0,56.0,145.0
5392136,0000155861,2023.3,DS 6,Distrito Sanitário VI,Us 342 Usf Djalma Holanda Cavalcante,DJALMA DE HOLANDA - EQUIPE IV,4.0,4.0,1.0,1.0,3.0,3.0,116.0,430.0,7.0,177.0,3.0,8.0,177.0,374.0
3153568,0000155160,2023.3,DS 6,Distrito Sanitário VI,Us 297 Usf do Pina,PINA - 2,2.0,2.0,3.0,3.0,9.0,9.0,162.0,561.0,4.0,166.0,1.0,7.0,144.0,366.0
3470261,0000155489,2023.3,DS 6,Distrito Sanitário VI,Us 326 Usf Jader de Andrade Comunidade Entra Apulso,ENTRA APULSO EQUIPE - 2,9.0,9.0,8.0,8.0,9.0,9.0,72.0,546.0,22.0,210.0,4.0,8.0,122.0,461.0
0022292,0000153761,2023.3,DS 7,Distrito Sanitário VII,Us 251 Usf da Guabiraba,GUABIRABA I VAL PARAISO,6.0,6.0,3.0,3.0,4.0,4.0,197.0,492.0,56.0,177.0,5.0,13.0,181.0,508.0
0001058,0000152927,2023.3,DS 7,Distrito Sanitário VII,Us 121 CS Prof Bruno Maia,BRUNO MAIA - III,3.0,3.0,0.0,0.0,4.0,4.0,142.0,504.0,41.0,160.0,1.0,2.0,87.0,358.0
0029068,0000154652,2023.3,DS 8,Distrito Sanitário VIII,Us 282 Usf Vila das Aeromocas,VILA DAS AEROMOCAS I,1.0,1.0,1.0,1.0,6.0,6.0,72.0,578.0,25.0,195.0,5.0,5.0,96.0,340.0
0001112,0000153036,2024.1,DS 5,Distrito Sanitário V,Us 186 Usf Jardim Uchoa,JARDIM UCHOA II,2.0,2.0,0.0,0.0,0.0,0.0,49.0,386.0,10.0,146.0,3.0,10.0,64.0,219.0
0028096,0000154512,2023.3,DS 2,Distrito Sanitário II,Us 274 Usf TIA Regina,TIA REGINA II,6.0,6.0,11.0,11.0,12.0,12.0,283.0,807.0,31.0,252.0,7.0,20.0,280.0,795.0
0022470,0001857541,2023.3,DS 8,Distrito Sanitário VIII,Us 230 Usf Lagoa Encantada,SBM2 ALTO ASA BRANCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0028045,0000154415,2023.3,DS 7,Distrito Sanitário VII,Us 257 Usf Gilberto Freire,BOLA NA REDE I,5.0,5.0,7.0,7.0,8.0,8.0,129.0,429.0,36.0,163.0,9.0,11.0,146.0,492.0
0028061,0000154458,2023.3,DS 7,Distrito Sanitário VII,Us 272 Usf Santa Tereza,SANTA TEREZA / FREI DAMIAO,8.0,8.0,5.0,5.0,2.0,2.0,106.0,546.0,13.0,211.0,5.0,14.0,265.0,581.0
